scope,method,edge_threshold,selected_rows,dates,cities,avg_rows_per_date,avg_ask,avg_edge,win_rate,cost,pnl,roi,roi_ci_low,roi_ci_high,daily_win_rate,losing_days,worst_day_pnl,worst_day_roi,current_yes_rows,current_no_rows,d1_no_rows,d2_no_rows
dev_cv,loo_no_city_source_blend,0.0,2544,19,36,133.89473684210526,0.5105959119496856,0.023563863229279176,0.523191823899371,1298.9560000000001,32.044,0.024669041907501098,-0.0025767465908564445,0.05006919539890608,0.7894736842105263,4,-7.053,-0.13048304441936617,699,690,612,543
dev_cv,loo_no_regime_blend,0.0,2466,19,36,129.78947368421052,0.49995579886455804,0.022007151100250682,0.519059205190592,1232.891,47.109,0.03821019051968098,0.002671655886954089,0.07025812583084314,0.7368421052631579,5,-10.363,-0.17756112605589155,679,677,585,525
dev_cv,market_local_norm,0.0,508,19,36,26.736842105263158,0.1716515748031496,0.01008641533078567,0.17125984251968504,87.199,-0.19900000000000073,-0.0022821362630305476,-0.1690490002624738,0.17133958207952324,0.3684210526315789,12,-3.667,-0.7857295907435183,12,390,89,17
dev_cv,market_recal_blend,0.0,2397,19,36,126.15789473684211,0.7065782227784732,0.015386907114667633,0.7113057989153108,1693.6680000000001,11.332000000000004,0.006690803628574197,-0.013136694277611138,0.02977910350882726,0.5789473684210527,8,-6.794999999999999,-0.08515571151074627,591,267,642,897
dev_cv,mkt_boundary_blend,0.0,2332,19,36,122.73684210526316,0.4649566895368782,0.01957791208364854,0.47084048027444253,1084.279,13.721,0.012654492063389589,-0.018527131130697323,0.03837780360479127,0.631578947368421,7,-9.18,-0.18294141092068553,636,689,548,459
dev_cv,mkt_city_source_blend,0.0,2570,19,36,135.26315789473685,0.5165435797665369,0.02462285354652136,0.5319066147859922,1327.5169999999998,39.48300000000001,0.029741992004622176,0.003647209335348916,0.05528622592932233,0.6842105263157895,6,-5.574999999999999,-0.09854175872735306,699,695,623,553
dev_cv,mkt_meteo_blend,0.0,2438,19,36,128.31578947368422,0.4890418375717801,0.02097180621607957,0.5004101722723544,1192.2839999999999,27.715999999999998,0.023246139342639843,-0.007011360040214772,0.0497935260272777,0.6842105263157895,6,-7.731,-0.14388341925517856,695,681,568,494
dev_cv,mkt_path_core_blend,0.0,2184,19,36,114.94736842105263,0.5460086996336996,0.019158764015481805,0.5645604395604396,1192.483,40.517,0.03397700428433781,0.0035543448824237895,0.05924686603466848,0.7894736842105263,4,-7.5889999999999995,-0.13902068182234514,626,507,510,541
dev_cv,mkt_regime_blend,0.0,2544,19,36,133.89473684210526,0.5105959119496856,0.023563863229279176,0.523191823899371,1298.9560000000001,32.044,0.024669041907501098,-0.0025767465908564445,0.05006919539890608,0.7894736842105263,4,-7.053,-0.13048304441936617,699,690,612,543
dev_cv,loo_no_city_source_blend,0.02,1068,19,36,56.21052631578947,0.537005617977528,0.04669708345384097,0.5749063670411985,573.5219999999999,40.478,0.07057793772514395,0.01587491729849788,0.12142889751527877,0.7368421052631579,5,-6.095,-0.22494925262963647,256,248,359,205
dev_cv,loo_no_regime_blend,0.02,936,19,36,49.26315789473684,0.5506794871794871,0.04693990819125013,0.5972222222222222,515.4359999999999,43.56400000000001,0.08451873753482492,0.0184795438384103,0.14559765489979565,0.6842105263157895,6,-6.993,-0.26903397068441504,228,207,309,192
dev_cv,market_local_norm,0.02,59,16,30,3.6875,0.2735423728813559,0.05616671597637391,0.3559322033898305,16.139,4.860999999999999,0.30119586095792794,-0.06739791371282171,0.6310411026674564,0.5,8,-0.75,-1.0,3,31,22,3
