feature,coef,abs_coef
categorical__peak_delta_bucket_peak_gt1h_ahead,-1.4930131760712986,1.4930131760712986
categorical__leg_current_yes,-1.0543258414721934,1.0543258414721934
numeric__target_distance_native,0.6617466379373546,0.6617466379373546
categorical__leg_d1_no,0.6489377791948355,0.6489377791948355
categorical__forecast_gap_bucket_room_1_2,-0.5991122985083601,0.5991122985083601
categorical__forecast_gap_bucket_busted_lt_minus1,0.5976499517208067,0.5976499517208067
categorical__peak_delta_bucket_near_peak,0.5777408387573911,0.5777408387573911
numeric__forecast_gap_to_running_native,0.566294460561066,0.566294460561066
categorical__forecast_gap_bucket_capped_minus1_0,0.463539361821795,0.463539361821795
numeric__forecast_margin_to_target_native,-0.3786856791734946,0.3786856791734946
categorical__peak_delta_bucket_post_peak_0_5_1_5h,0.35499511769794184,0.35499511769794184
categorical__peak_delta_bucket_post_peak_gt1_5h,0.35345569379961356,0.35345569379961356
categorical__forecast_gap_bucket_room_0_1,-0.3440637715937232,0.3440637715937232
categorical__leg_d2_no,0.29985633554037794,0.29985633554037794
numeric__decline_native,0.24780924664525983,0.24780924664525983
numeric__running_value,-0.2353825528291873,0.2353825528291873
categorical__path_state_decline,0.21976874838217497,0.21976874838217497
categorical__path_state_at_high,-0.2169268195634315,0.2169268195634315
categorical__peak_delta_bucket_peak_1h_to_15m_ahead,0.20966345463509653,0.20966345463509653
categorical__forecast_gap_bucket_room_gt2,-0.11517131462177464,0.11517131462177464
categorical__leg_d3_no,0.10837365555572503,0.10837365555572503
numeric__forecast_peak_delta_hours_local,0.08528460537748528,0.08528460537748528
numeric__local_time_float,0.06906111917262525,0.06906111917262525
numeric__metar_obs_count_today,0.06000316628743243,0.06000316628743243
categorical__unit_C,0.030703360876361014,0.030703360876361014
categorical__unit_F,-0.027861432057615917,0.027861432057615917
